00 00 10 32,CMP,It's pretty damn nominal [comma]  isn't it [comma]  so far?
00 00 10 34,MS,Boy.
00 00 10 35,CMP,Magnificent.
00 00 27 59,CMP,Down here somewhere. There [comma]  you're getting close.
00 00 28 02,LMP,Don't see it. There it comes.
00 00 28 04,CMP,...
00 00 28 05,CDR,Cut the ...
00 00 28 06,CDR,Okay. MAIN REG B valve [comma]  OPEN; and A valve [comma]  closed.
00 00 28 09,CMP,A [comma]  closed.
00 00 28 10,LMP,Okay. EMERGENCY CABIN PRESS [comma]  select 2.
00 00 28 12,CMP,2.
00 00 28 13,LMP,Push to test.
00 00 28 15,CMP,Tested.
00 00 28 16,LMP,... MAIN REG A valve [comma]  OPEN.
00 00 28 20,CMP,OPEN.
00 00 28 21,LMP,EMERGENCY CABIN PRESS [comma]  select closed.
00 00 28 23,CMP,Close.
00 00 28 24,LMP,Okay. Here [comma]  let me get you started on your ontics.
00 00 28 26,CMP,Can I borrow that ... back again? Oh [comma]  there she be.
00 00 28 31,LMP,Okay. Ready for your optics [comma]  Stuart?
00 00 28 36,CMP,No [comma]  not quite yet. Let me get my handholds down here [comma]  so - -
00 00 28 39,LMP,Okay. Well [comma]  holler when you?re ready [comma]  and I'll come back to you.
00 00 28 42,CDR,We're probably pretty well ahead of schedule [comma]  timewise [comma]  aren't we?
00 00 28 44,LMP,Well [comma]  I'm a little behind on - -
00 00 28 46,CMP,No [comma]  we're not really - -
00 00 28 48,LMP,- - Carnarvon LOS [comma]  now. Okay [comma]  service module RCS monitor check. I've got all eight of them gray. Okay. 115 to 140 75. That all looks good. HELIUM PRESS --
00 00 29 14,CMP,...
00 00 29 15,CDR,Okay.
00 00 29 16,CMP,Thank you.
00 00 29 17,LMP,- - 42.
00 00 29 18,CDR,Okay. Can I help you with anything now?
00 00 29 20,LMP,You can read the helium pressures - I'll - I'll get those. I just thought that - -
00 00 29 24,CDR,On the quads?
00 00 29 25,LMP,Yes .
00 00 29 26,CDR,Okay. You on B [comma]  now?
00 00 29 28,CMP,Now [comma]  why did they put those that way?
00 00 29 29,LMP,Yes.
00 00 29 32,CDR,Okay. And you want - -
00 00 29 35,LMP,4000.
00 00 29 36,CDR,- - quantity's 100 and full scale high and tank temp is 74.
00 00 29 41,LMP,Okay.
00 00 29 43,CDR,You got tank temp down there?
00 00 29 45,LMP,Okay - -
00 00 29 46,CDR,For - ... - -
00 00 29 47,LMP,- - Let me just get the pressures and then the tanks and the quantities [comma]  because I have to copy them all down.
00 00 29 54,LMP,41
00 00 29 55,CDR,Helium [comma]  41 on C.
00 00 29 57,LMP,Okay.
00 00 29 59,CDR,41 on B. Now [comma]  what do you need?
00 00 30 02,LMP,Okay. That's helium - I need manifold PRESS.
00 00 30 08,CDR,Okay. Manifold pressure is 200 on D -
00 00 30 12,LMP,Okay.
00 00 30 13,CDR,200 on C.
00 00 30 15,LMP,Okay.
00 00 30 16,CDR,200 on B.
00 00 30 17,LMP,Okay.
00 00 30 18,CDR,And 200 on A.
00 00 30 19,LMP,Very good.
00 00 30 20,CDR,
00 00 30 21,LMP,Okay. Helium tank temp - I need to record.
00 00 30 22,CDR,Okay. Tank temp's on A at 75.
00 00 30 26,LMP,75-
00 00 30 27,CDR,B is 74; C is 81; and D is 77.
00 00 30 36,LMP,Okay. Propellant quantity.
00 00 30 38,CDR,B [comma]  full scale high - -
00 00 30 40,LMP,Okay.
00 00 30 41,CDR,C [comma]  full scale high; D is full scale high; A is full scale high. That baby had a full load.
00 00 30 48,LMP,Okay. Okay [comma]  command module RCS monitoring. Talkback [comma]  gray.
00 00 30 56,CMP,I'll get the cameras in a little bit.
00 00 30 57,LMP,Yes. Okay [comma]  we're in no hurry - -
00 00 30 59,CMP,I'm going to read my optics dust cover jettison.
00 00 31 01,LMP,Okay þ
00 00 31 02,CDR,Yes. We didn't have to worry about the cameras before.
00 00 31 04,LMP,60 [comma]  90. 60 [comma]  90.
00 00 31 05,CMP,Yes.
00 00 31 06,LMP,That looks good - -
00 00 31 07,CMP,Okay. Install optics eyepieces and handles - -
00 00 31 08,LMP,-- 41 to 42 --
00 00 31 09,CMP,- - that's done. G/N POWER [comma]  OPTICS [comma]  on (up).
00 00 31 11,LMP,-- Manifold PRESS 81 to 105* That's good. Those are good. Okay. Secondary radiator leak check.
00 00 31 23,CMP,OPTICS ZERO [comma]  OFF.
00 00 31 26,LMP,... quantity - -
00 00 31 27,CMP,OPTICS ZERO [comma]  ZERO.
00 00 31 28,LMP,Al [comma]  could I have the SECONDARY GLYCOL to RADIATOR valve - -
00 00 31 30,CMP,OPTICS MODE [comma]  MAIM
00 00 31 31,LMP,- - NORMAL for 30 seconds and then BYPASS.
00 00 31 32,CMP,OPTICS COUPLING ... DIRECT; OPTICS SPEED control HI.
00 00 31 48,LMP,Okay.
00 00 31 52,CMP,Okay. That'll be 15 seconds. Okay [comma]  let's see if we've got the monitor. Optics hand control [comma]  okay [comma]  is MANUAL [comma]  HI [comma]  DIRECT [comma]  and going max right. Going about 40 degrees. And this one ought to go about 150.
00 00 32 18,CMP,Man! It looks ? It's pure black. Can't see because I'm not adapted.... lens cover. And you need to ...
00 00 32 35,LMP,Did you get all of your jettison - optics dust cover jettison checklist [comma]  Stu?
00 00 32 39,CMP,Yes [comma]  I did.
00 00 32 41,LMP,Okay. G/N OPTICS [comma]  on. OPTICS ZERO [comma]  OFF.
00 00 32 44,CMP,Yes.
00 00 32 45,LMP,ZERO for 15.
00 00 32 47,CMP,That's verified.
00 00 32 48,LMP,OPTICS ZERO [comma]  OFF. OPTICS MODE [comma]  MANUAL then.
00 00 32 50,CMP,That's verified.
00 00 32 52,LMP,COUPLING control [comma]  DIRECT [comma]  and HI SPEED - SPEED control [comma]  HI [comma]  and max right until ejected.
00 00 32 58,CMP,That?s verified.
00 00 32 59,LMP,Okay.
00 00 33 00,CDR,Okay [comma]  Ed. You want to go from NORMAL to EYPASS [comma]  now?
00 00 33 03,LMP,Yes [comma]  for 30 seconds.
00 00 33 04,CDR,Okay [comma]  here it is right now.
00 00 33 06,LMP,Okay [comma]  I got it.
00 00 33 07,CDR,Oh [comma]  wait a minute. Wait a minute. Something's wrong here....
00 00 33 10,LMP,No. No. I wanted SECONDARY GLYCOL to RADIATOR valve for NORMAL. SECONDARY GLYCOL.
00 00 33 15,CDR,Okay. GLYCOL [comma]  SECONDARY RADIATOR valve - I car.'t see that mother.
00 00 33 24,CMP,Man! Those stars are dimmer than they are in the simulator.
00 00 33 27,LMP,Is our - light in here bothering you [comma]  Stuart?
00 00 33 30,CMP,No. No [comma]  I - I've got them.
00 00 33 38,CDR,Okay [comma]  Ed. I think I've got it now.
00 00 33 41,LMP,Okay. You've got her in BYPASS [comma]  huh?
00 00 33 47,CDR,No [comma]  wait a minute. God damn it! I just cannot feel it.
00 00 33 49,LMP,Yes.
00 00 33 53,CDR,I can't feel it. The simulator's got a big red stripe on it. Maybe if I get my little finger in there [comma]  I can line it up.
00 00 34 08,LMP,
00 00 34 25,CMP,Okay. Start with soar 22 for the first one [comma]  if you've got a chance to write it - -
00 00 34 29,LMP,Okay. Star 22.
00 00 34 31,CDR,Okay.
00 00 34 32,CMP,The ether will be star 24.
00 00 34 33,LMP,And the other will be star 24.
00 00 34 34,CMP,Yes. Gienah. Oh [comma]  I ...
00 00 34 37,LMP,Okay [comma]  Al. It's in BYFAS3 [comma]  huh?
00 00 34 40,CDR,You want it in BYPASS?
00 00 34 41,LMP,I'm sorry. I want it in NORMAL for 30 seconds.
00 00 34 42,CDR,It's in NORMAL. Has been for - 10 seconds. I'll ...
00 00 34 45,LMP,Okay. I?m just watching the - quantity there.
00 00 34 47,CDR,Okay [comma]  that?s about 30 seconds.
00 00 34 58,LMP,It looks good. We have no leaks.
00 00 35 01,CDR,Okay [comma]  hack in BYPASS.
00 00 35 03,LMP,Okay. I'm ready to set a configuration here. I need the GLYCOL RESERVOIR BYPASS valve to OPEN.
00 00 35 12,CDR,Okay. Stand by 1. GLYC BYPASS valve [comma]  OPEN.
00 00 35 20,LMP,OUT valve [comma]  CLOSED; IN valve [comma]  CLOSED.
00 00 35 22,CDR,OUT valve [comma]  CLOSED; IN valve [comma]  CLOSED.
00 00 35 27,LMP,Okay. And we want to fill the PRIMARY ACCUMULATORS.
00 00 35 31,CMP,Oh [comma]  shit!
00 00 35 33,LMP,What ?
00 00 35 34,CMP,Oh [comma]  I got four balls.
00 00 35 35,CDR,Oh [comma]  God. Too bad.
00 00 35 37,LMP,What did he get [comma]  four balls 1?
00 00 35 38,CDR,Yes. He got a 1.
00 00 35 40,CMP,Oh [comma]  hell.
00 00 35 41,CDR,Too bad [comma]  babe.
00 00 35 42,CMP,I'm tempted to repeat it. I think I will.
00 00 35 45,CDR,Okay.
00 00 35 46,LMP,Okay.
00 00 35 47,CDR,You want the PRIMARY ACCUMULATOR FILL [comma]  huh?
00 00 35 48,LMP,Yes [comma]  please.
00 00 35 49,CDR,Okay. Stand by.
00 00 36 25,CDR,Okay [comma]  Ed. Here it comes. It's ON.
00 00 36 28,LMP,All right [comma]  it's on. Okay. Okay [comma]  you can shut it off. I've got almost 60 percent.
00 00 36 39,CDR,Okay [comma]  it's OFF .
00 00 36 41,LMP,Okay. Okay [comma]  ECS RADIATOR [comma]  FLOW - FLOW CONTROL to POWER. POWER. PRIMARY GLYCOL to RADIATOR valve [comma]  NORMAL [comma]  push.
00 00 36 57,CDR,Okay [comma]  down she goes.
00 00 37 00,LMP,ECS RADIATOR HEATER [comma]  PRIM 1.
00 00 37 02,CDR,Hear it? Gurgle [comma]  gurgle [comma]  gurgle [comma]  gurgle [comma]  gurgle.
00 00 37 04,LMP,Yes [comma]  and there she came. I saw it.
00 00 37 09,CDR,(Laughter) Gurgle [comma]  gurgle [comma]  gurgle. Okay.
00 00 37 15,LMP,Okay. We want to watch ECS RAD TEMP PRIM OUT below PRIM IN. It?s below PRIM IN. It's looking good already. ECS talkback [comma]  gray. GLYCOL EVAP TEMP IN to AUTO.
00 00 37 41,CMP,There we go.
00 00 37 42,CDR,There you go [comma]  babe.
00 00 37 43,LMP,Got a four ball.
00 00 37 44,CDR,Yes [comma]  he did.
00 00 37 45,CMP,Son of a bitch. Got five balls.
00 00 37 46,CDR,Good show. We won't count the first one.
00 00 37 48,CMP,No. Okay. With 22 [comma]  24 [comma]  five balls.
00 00 37 53,LMP,Okay.
00 00 37 54,CMP,And there's a NOUN 93.
00 00 37 55,LMP,Okay.
00 00 37 56,CDR,You want to copy them?
00 00 37 57,LMP,Yes [comma]  I'm copying them. 89 - -
00 00 37 58,CDR,00085.
00 00 38 00,LMP,8 5?
00 00 38 01,CDR,Right [comma] 
00 00 38 02,LMP,Sorry.
00 00 38 03,CDR,And second - R^ is plus 00010; R - -
00 00 38 06,LMP,10?
00 00 38 07,CDR,Right. R is plus 00166.
00 00 38 11,CMP,Okay [comma]  and let's say it's 38:15.
00 00 38 12,LMP,... 1. 38.
00 00 38 15,CMP,15.
00 00 38 16,CDR,Right.
00 00 38 17,CMP,Torque.
00 00 38 18,LMP,15.
00 00 38 19,CDR,Torque at 38:15.
00 00 38 20,CMP,Okay. Optics ? Now [comma]  that ? if ? I stow the eyepieces [comma]  don't I?
00 00 38 28,LMP,Stow optics eyepieces.
